stress-ng: info:  [88933] dispatching hogs: 64 dccp
stress-ng: fail:  [88957] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88958] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88959] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88960] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88961] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88962] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88964] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88965] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88968] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88970] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88972] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88974] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88977] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88979] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88980] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88982] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88985] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88986] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88989] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88990] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88992] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88994] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88996] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [88998] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89003] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89000] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89004] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89006] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89008] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89010] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89013] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89014] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89018] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89016] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89020] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89022] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89025] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89026] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89029] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89032] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89030] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89037] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89034] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89036] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89041] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89039] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89045] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89044] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89050] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89046] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89051] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89062] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89055] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89059] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89053] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89060] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89057] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89067] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: error: [88933] process 88957 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88958 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88959 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: fail:  [89066] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: error: [88933] process 88960 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: fail:  [89073] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: error: [88933] process 88961 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88962 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: fail:  [89074] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89063] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: error: [88933] process 88964 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88965 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: fail:  [89075] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: error: [88933] process 88968 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88970 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88972 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: fail:  [89077] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: fail:  [89070] stress-ng-dccp: socket failed, errno=13 (Permission denied)
stress-ng: error: [88933] process 88974 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88977 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88979 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88980 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88982 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88985 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88986 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88989 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88990 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88992 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88994 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88996 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 88998 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89000 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89003 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89004 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89006 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89008 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89010 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89013 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89014 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89016 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89018 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89020 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89022 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89025 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89026 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89029 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89030 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89032 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89034 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89036 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89037 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
stress-ng: error: [88933] process 89039 (stress-ng-dccp) terminated with an error, exit status=2 (stressor failed)
